,Question,Answer URL,Answer Label,Question Rating,Answer Quality,Factual,questionId
0,does water have a memory as claimed in homeopathy,https://skeptics.stackexchange.com/questions/2#27,no,1.6666666666666667,2.3333333333333335,1.0,2
1,does chamomile help you to relax,https://skeptics.stackexchange.com/questions/3#54 ,na,2.0,2.0,1.0,3
2,are there benefits to the eca stack for bodybuilders,https://skeptics.stackexchange.com/questions/22#5645,yes,1.6666666666666667,2.0,1.0,22
3,can positive thinking provide an improved outcome for an illness,https://skeptics.stackexchange.com/questions/26#8814,yes,2.6666666666666665,2.6666666666666665,1.0,26
4,are vegetables good for me,https://skeptics.stackexchange.com/questions/32#62,yes,2.0,2.3333333333333335,1.0,32
5,do human activities contribute to climate change,https://skeptics.stackexchange.com/questions/41#480,yes,3.0,3.0,1.0,41
6,is there any scientific support for psychoanalysis,https://skeptics.stackexchange.com/questions/57#84,no,2.5,2.0,1.0,57
7,is it possible to overdose on homeopathic medicines,https://skeptics.stackexchange.com/questions/100#112,yes,1.3333333333333333,1.3333333333333333,1.0,100
8,is cholesterol a significant factor in heart attacks,https://skeptics.stackexchange.com/questions/141#216,yes,2.6666666666666665,1.3333333333333333,1.0,141
9,are there technologies that provide unlimited free energy,https://skeptics.stackexchange.com/questions/155#158,no,1.5,2.5,1.0,155
10,can an electronic device reduce scale buildup in waterworks,https://skeptics.stackexchange.com/questions/162#320,no,2.0,2.0,1.0,162
11,does blood type affect what type of food is best for you,https://skeptics.stackexchange.com/questions/189#193,no,2.0,3.0,1.0,189
12,are the game systems advertised by pickupartists effective,https://skeptics.stackexchange.com/questions/242#272,yes,1.6666666666666667,2.0,1.0,242
13,is it possible to influence the sex of a baby by controlling the mothers diet,https://skeptics.stackexchange.com/questions/277#282,no,1.3333333333333333,2.3333333333333335,1.0,277
14,should a healthy adult take a daily multivitamin,https://skeptics.stackexchange.com/questions/299#304,na,2.6666666666666665,2.6666666666666665,1.0,299
15,can toddlers learn sign language,https://skeptics.stackexchange.com/questions/321#5839,yes,2.3333333333333335,1.3333333333333333,1.0,321
16,does telepathy exist,https://skeptics.stackexchange.com/questions/361#368,no,1.6666666666666667,2.3333333333333335,1.0,361
17,do short pictures as subliminal messages work,https://skeptics.stackexchange.com/questions/382#383,no,2.3333333333333335,2.6666666666666665,1.0,382
18,does reading about cognitive biases improve reasoning,https://skeptics.stackexchange.com/questions/447#551,na,2.0,1.3333333333333333,1.0,447
19,does water swirl the opposite way on the other hemisphere,https://skeptics.stackexchange.com/questions/450#451,yes,2.6666666666666665,2.6666666666666665,1.0,450
20,is it unsafe to swim during a lightning storm,https://skeptics.stackexchange.com/questions/466#467,no,1.6666666666666667,2.3333333333333335,1.0,466
21,is smoking weed bad for your health,https://skeptics.stackexchange.com/questions/487#5567,na,2.0,1.3333333333333333,1.0,487
22,do antioxidants have health benefits,https://skeptics.stackexchange.com/questions/510#6440,yes,1.6666666666666667,2.3333333333333335,1.0,510
23,does it take l of water to make a latte,https://skeptics.stackexchange.com/questions/512#537,yes,2.6666666666666665,2.6666666666666665,1.0,512
24,are there any viable shortcuts to stop smoking,https://skeptics.stackexchange.com/questions/514#515,yes,2.6666666666666665,2.6666666666666665,1.0,514
25,is global economic production sufficient to feed clothe and educate everyone,https://skeptics.stackexchange.com/questions/546#556,yes,3.0,1.6666666666666667,1.0,546
26,do mobile phones have anything to do with brain cancer,https://skeptics.stackexchange.com/questions/569#571,no,3.0,3.0,1.0,569
27,do violent video games cause violent behavior,https://skeptics.stackexchange.com/questions/598#648,na,1.6666666666666667,2.3333333333333335,1.0,598
28,is there any research done on tattoos and their relationship to sexual activity,https://skeptics.stackexchange.com/questions/606#608,yes,2.3333333333333335,1.6666666666666667,1.0,606
29,can bullets fired into the air kill a person when they fall,https://skeptics.stackexchange.com/questions/610#638,yes,2.0,3.0,1.0,610
30,can using an air conditioner while sleeping be harmful,https://skeptics.stackexchange.com/questions/617#622,no,2.0,2.0,1.0,617
31,is graphology grounded,https://skeptics.stackexchange.com/questions/641#15152,no,2.0,2.0,1.0,641
32,do those hologram bracelets do anything at all,https://skeptics.stackexchange.com/questions/716#720,no,2.0,2.0,1.0,716
33,can memory tricks work,https://skeptics.stackexchange.com/questions/733#736,yes,2.6666666666666665,2.3333333333333335,1.0,733
34,is breakfast the most important meal of the day,https://skeptics.stackexchange.com/questions/755#5928,no,2.6666666666666665,2.0,1.0,755
35,does celery help you lose weight,https://skeptics.stackexchange.com/questions/803#6991  ,yes,2.0,2.0,1.0,803
36,has there ever been a case of a manchuriancandidatestyle sleeper agent,https://skeptics.stackexchange.com/questions/805#11170,na,1.6666666666666667,1.0,1.0,805
37,can a second chernobyl happen at the nuclear reactors damaged by the tsunami in japan,https://skeptics.stackexchange.com/questions/814#817,no,2.3333333333333335,1.3333333333333333,1.0,814
38,can locally produced honey help to build an immunity to hayfever,https://skeptics.stackexchange.com/questions/889#895,na,1.6666666666666667,1.6666666666666667,1.0,889
39,can big earthquakes trigger a domino effect,https://skeptics.stackexchange.com/questions/921#930,no,2.0,2.0,1.0,921
