Question,Answer URL,Answer Label,Question Rating,Answer Quality,Factual,questionId
does water have a memory as claimed in homeopathy,https://skeptics.stackexchange.com/questions/2#27,no,1.666666667,2.333333333,1,2
does chamomile help you to relax,https://skeptics.stackexchange.com/questions/3#54 ,na,2,2,1,3
are there benefits to the eca stack for bodybuilders,https://skeptics.stackexchange.com/questions/22#5645,yes,1.666666667,2,1,22
can positive thinking provide an improved outcome for an illness,https://skeptics.stackexchange.com/questions/26#8814,yes,2.666666667,2.666666667,1,26
are vegetables good for me,https://skeptics.stackexchange.com/questions/32#62,yes,2,2.333333333,1,32
do human activities contribute to climate change,https://skeptics.stackexchange.com/questions/41#480,yes,3,3,1,41
is there any scientific support for psychoanalysis,https://skeptics.stackexchange.com/questions/57#84,yes,2.5,2,1,57
is it possible to overdose on homeopathic medicines,https://skeptics.stackexchange.com/questions/100#112,yes,1.333333333,1.333333333,1,100
is cholesterol a significant factor in heart attacks,https://skeptics.stackexchange.com/questions/141#216,yes,2.666666667,1.333333333,1,141
are there technologies that provide unlimited free energy,https://skeptics.stackexchange.com/questions/155#158,no,1.5,2.5,1,155
can an electronic device reduce scale buildup in waterworks,https://skeptics.stackexchange.com/questions/162#320,no,2,2,1,162
does blood type affect what type of food is best for you,https://skeptics.stackexchange.com/questions/189#193,na,2,3,1,189
are the game systems advertised by pickupartists effective,https://skeptics.stackexchange.com/questions/242#272,yes,1.666666667,2,1,242
is it possible to influence the sex of a baby by controlling the mothers diet,https://skeptics.stackexchange.com/questions/277#282,no,1.333333333,2.333333333,1,277
should a healthy adult take a daily multivitamin,https://skeptics.stackexchange.com/questions/299#304,na,2.666666667,2.666666667,1,299
can toddlers learn sign language,https://skeptics.stackexchange.com/questions/321#5839,yes,2.333333333,1.333333333,1,321
does telepathy exist,https://skeptics.stackexchange.com/questions/361#368,no,1.666666667,2.333333333,1,361
does the artificial sweetener aspartame cause cancer,https://skeptics.stackexchange.com/questions/369#410,no,1.5,2,1,369
do short pictures as subliminal messages work,https://skeptics.stackexchange.com/questions/382#383,no,2.333333333,2.666666667,1,382
does reading about cognitive biases improve reasoning,https://skeptics.stackexchange.com/questions/447#551,na,2,1.333333333,1,447
does water swirl the opposite way on the other hemisphere,https://skeptics.stackexchange.com/questions/450#451,yes,2.666666667,2.666666667,1,450
is it unsafe to swim during a lightning storm,https://skeptics.stackexchange.com/questions/466#467,na,1.666666667,2.333333333,1,466
is smoking weed bad for your health,https://skeptics.stackexchange.com/questions/487#5567,na,2,1.333333333,1,487
do antioxidants have health benefits,https://skeptics.stackexchange.com/questions/510#6440,yes,1.666666667,2.333333333,1,510
does it take l of water to make a latte,https://skeptics.stackexchange.com/questions/512#537,yes,2.666666667,2.666666667,1,512
are there any viable shortcuts to stop smoking,https://skeptics.stackexchange.com/questions/514#515,yes,2.666666667,2.666666667,1,514
is global economic production sufficient to feed clothe and educate everyone,https://skeptics.stackexchange.com/questions/546#556,yes,3,1.666666667,1,546
do mobile phones have anything to do with brain cancer,https://skeptics.stackexchange.com/questions/569#571,no,3,3,1,569
do violent video games cause violent behavior,https://skeptics.stackexchange.com/questions/598#648,na,1.666666667,2.333333333,1,598
is there any research done on tattoos and their relationship to sexual activity,https://skeptics.stackexchange.com/questions/606#608,yes,2.333333333,1.666666667,1,606
can bullets fired into the air kill a person when they fall,https://skeptics.stackexchange.com/questions/610#638,yes,2,3,1,610
can using an air conditioner while sleeping be harmful,https://skeptics.stackexchange.com/questions/617#622,no,2,2,1,617
is graphology grounded,https://skeptics.stackexchange.com/questions/641#15152,no,2,2,1,641
do those hologram bracelets do anything at all,https://skeptics.stackexchange.com/questions/716#720,no,2,2,1,716
can memory tricks work,https://skeptics.stackexchange.com/questions/733#736,yes,2.666666667,2.333333333,1,733
is breakfast the most important meal of the day,https://skeptics.stackexchange.com/questions/755#5928,no,2.666666667,2,1,755
does celery help you lose weight,https://skeptics.stackexchange.com/questions/803#6991  ,yes,2,2,1,803
has there ever been a case of a manchuriancandidatestyle sleeper agent,https://skeptics.stackexchange.com/questions/805#11170,na,1.666666667,1,1,805
can a second chernobyl happen at the nuclear reactors damaged by the tsunami in japan,https://skeptics.stackexchange.com/questions/814#817,no,2.333333333,1.333333333,1,814
can locally produced honey help to build an immunity to hayfever,https://skeptics.stackexchange.com/questions/889#895,na,1.666666667,1.666666667,1,889
can big earthquakes trigger a domino effect,https://skeptics.stackexchange.com/questions/921#930,no,2,2,1,921
meditation is it just spiritual practice or something more,https://skeptics.stackexchange.com/questions/922#941 ,yes,1.666666667,3,1,922
insects as food is it feasible for humans to replace traditional livestock meat with insects,https://skeptics.stackexchange.com/questions/923#2068,na,2,2,1,923
can carbon in hair be proven to originate from corn,https://skeptics.stackexchange.com/questions/932#933,na,1.666666667,1.666666667,1,932
does the gspot exist,https://skeptics.stackexchange.com/questions/936#937,na,2,2.5,1,936
do people exposed to high levels of radiation pose any risk to their children or other individuals,https://skeptics.stackexchange.com/questions/974#1002,no,2,2.333333333,1,974
is the use of parachutes supported by peerreviewed papers,https://skeptics.stackexchange.com/questions/1064#1066,yes,2,3,1,1064
has global mean temperature at sea level increased since,https://skeptics.stackexchange.com/questions/1065#1085,yes,2,2.333333333,1,1065
are personal electronics a risk to commercial aviation,https://skeptics.stackexchange.com/questions/1118#1127,na,2,2,1,1118
did most sex workers experience abuse as a child,https://skeptics.stackexchange.com/questions/1121#44129,yes,2.666666667,2.666666667,1,1121
has man walked on the moon,https://skeptics.stackexchange.com/questions/1128#1130,yes,1.5,1.5,1,1128
does using a laptop on your lap lower your sperm count,https://skeptics.stackexchange.com/questions/1167#1170,yes,2.5,2,1,1167
is eating eggs bad for me,https://skeptics.stackexchange.com/questions/1186#1193,yes,2.333333333,2,1,1186
are saturated fats unhealthy,https://skeptics.stackexchange.com/questions/1231#1250,na,2.666666667,2.333333333,1,1231
does the mount washington wind speed record have scientific validity,https://skeptics.stackexchange.com/questions/1238#1253,no,2,2.5,1,1238
do men think about sex every  seconds,https://skeptics.stackexchange.com/questions/1508#7124,no,2.333333333,2.333333333,1,1508
would avoiding the eating of meat stop global warming,https://skeptics.stackexchange.com/questions/1509#1512 ,yes,2.333333333,2.333333333,1,1509
are programmers likely to be musicians,https://skeptics.stackexchange.com/questions/1570#1580,yes,3,2,1,1570
was there a trick behind this magnetic therapy demonstration,https://skeptics.stackexchange.com/questions/1587#1597,yes,2.666666667,3,1,1587
is prescription fish oil better than overthecounter fish oil,https://skeptics.stackexchange.com/questions/1605#1619,na,1.333333333,1,1,1605
do solar storms affect human behaviour,https://skeptics.stackexchange.com/questions/1675#1691 ,no,2,2.333333333,1,1675
is learning more difficult for older people,https://skeptics.stackexchange.com/questions/1713#1724,na,2,2.666666667,1,1713
do drug addicts stop maturing when they become addicted,https://skeptics.stackexchange.com/questions/1738#4764,na,2,2.333333333,1,1738
is carbonated water unhealthy,https://skeptics.stackexchange.com/questions/1771#1814,no,2,2.333333333,1,1771
is it possible to get to the power needed to thrust a rocket so that it can escape from earth,https://skeptics.stackexchange.com/questions/1783#10760 ,yes,1.5,2.5,1,1783
is a vegetarian vegan diet more healthy,https://skeptics.stackexchange.com/questions/1790#2058,yes,2.333333333,1.666666667,1,1790
did the development of agriculture prevent an ice age occurring,https://skeptics.stackexchange.com/questions/1801#2868,no,1.5,2.5,1,1801
are there any studies that prove or disprove the idea of six degrees of separation,https://skeptics.stackexchange.com/questions/1825#1826,no,2,2.333333333,1,1825
is drinking water during a meal bad for you,https://skeptics.stackexchange.com/questions/1870#1871,no,2,2.333333333,1,1870
do some casinos use extra oxygen to increase gambling or is this a myth,https://skeptics.stackexchange.com/questions/1872#1873,no,3,2.333333333,1,1872
do you eat a certain number of spiders whilst you sleep,https://skeptics.stackexchange.com/questions/1908#1911,no,1.666666667,1.666666667,1,1908
is spanking an effective form of discipline for children,https://skeptics.stackexchange.com/questions/1939#1940,no,2,2.666666667,1,1939
is poisoning possible from preservative on orange zest,https://skeptics.stackexchange.com/questions/1941#2451,na,2,2.666666667,1,1941
are religious people happier,https://skeptics.stackexchange.com/questions/1954#1957,na,2,2.333333333,1,1954
does having late or heavy dinner make you fat,https://skeptics.stackexchange.com/questions/1996#2000,na,1.5,3,1,1996
can one die of fear,https://skeptics.stackexchange.com/questions/2019#2020,yes,1.666666667,2.333333333,1,2019
does red bull energy drink contain sperm from a bull,https://skeptics.stackexchange.com/questions/2039#2041,no,2,2.5,1,2039
is there anything inexplicable about how the wtc twin towers collapsed,https://skeptics.stackexchange.com/questions/2108#2109,no,2,1.333333333,1,2108
does eating just before sleeping cause nightmares,https://skeptics.stackexchange.com/questions/2111#10786,na,2.5,2.5,1,2111
is kar a reliable method for dating rock ages,https://skeptics.stackexchange.com/questions/2112#8744 ,yes,2.666666667,2.333333333,1,2112
are different prices in wines justified by taste,https://skeptics.stackexchange.com/questions/2117#2122,no,2.333333333,2.666666667,1,2117
are homosexual men substantially more likely to be pedophiles than heterosexual men,https://skeptics.stackexchange.com/questions/2150#2164,no,2,2,1,2150
does child rearing by homosexual couples have any measurable negative effects,https://skeptics.stackexchange.com/questions/2153#23422,na,2,3,1,2153
does technology have a negative effect on attention span,https://skeptics.stackexchange.com/questions/2168#31636,yes,2.5,2,1,2168
are small and frequent meals better for health,https://skeptics.stackexchange.com/questions/2173#5904,yes,3,3,1,2173
is there hard science behind the benefits of home water softeners,https://skeptics.stackexchange.com/questions/2199#2223,na,1.666666667,2,1,2199
is genetically modified food safe to consume,https://skeptics.stackexchange.com/questions/2215#17527,yes,3,2.5,1,2215
is eating clovenhoofed animals bottomfeeders or ruminants bad for you,https://skeptics.stackexchange.com/questions/2330#2347,no,1.5,2,1,2330
is there any observable evidence of the big bang,https://skeptics.stackexchange.com/questions/2335#2337 ,yes,2,3,1,2335
are there no two snow crystals alike,https://skeptics.stackexchange.com/questions/2342#2345,no,2,3,1,2342
do any diets work long term,https://skeptics.stackexchange.com/questions/2381#2382,no,2.333333333,1.666666667,1,2381
are frozen vegetables typically healthier to buy and eat than fresh ones,https://skeptics.stackexchange.com/questions/2400#2408 ,yes,2,2,1,2400
does sleeping an average of  hours or more raise ones risk of brainrelated disorders,https://skeptics.stackexchange.com/questions/2414#3492,no,2.333333333,2.666666667,1,2414
is modern string theory stuck in the no predictions land,https://skeptics.stackexchange.com/questions/2484#2546,yes,2.333333333,1.666666667,1,2484
are diet sodas as healthy as drinking water,https://skeptics.stackexchange.com/questions/2523#2525,na,1.666666667,2,1,2523
is there evidence that using handwriting increases empathy,https://skeptics.stackexchange.com/questions/2528#2531,yes,2,1.666666667,1,2528
do emotionallydriven tears release toxins from the body,https://skeptics.stackexchange.com/questions/2561#3139,no,1.666666667,2.666666667,1,2561
are artificial hormones in beef something to worry about,https://skeptics.stackexchange.com/questions/2601#2623 ,no,1.5,3,1,2601
is physiotherapy effective in reducing repetitive strain injury rsi complaints,https://skeptics.stackexchange.com/questions/2612#8088,na,1.666666667,1.666666667,1,2612
is the hydrogen peroxide therapy harmful,https://skeptics.stackexchange.com/questions/2613#2616,yes,2,2.333333333,1,2613
is the depiction of nudity or sex harmful to minors,https://skeptics.stackexchange.com/questions/2644#4586,no,2.333333333,2.666666667,1,2644
does taking whey protein make you gain muscle,https://skeptics.stackexchange.com/questions/2664#3105,na,2.333333333,2,1,2664
did we have a global cooling  years ago,https://skeptics.stackexchange.com/questions/2667#2672,no,2.333333333,2.666666667,1,2667
can anything be more hydrating than water,https://skeptics.stackexchange.com/questions/2673#2676,yes,2.333333333,3,1,2673
does having a pet help to cure your depression,https://skeptics.stackexchange.com/questions/2681#2684,yes,3,2.666666667,1,2681
